Time,City,Product,Sales
week1,city1,product1,109.0
week2,city1,product1,104.0
week3,city1,product1,100.0
week4,city1,product1,108.0
week5,city1,product1,107.0
week6,city1,product1,109.0
week7,city1,product1,107.0
week8,city1,product1,105.0
week9,city1,product1,107.0
week10,city1,product1,105.0
week11,city1,product1,108.0
week12,city1,product1,97.0
week13,city1,product1,98.0
week14,city1,product1,102.0
week15,city1,product1,108.0
week16,city1,product1,100.0
week17,city1,product1,96.0
week18,city1,product1,103.0
week19,city1,product1,96.0
week20,city1,product1,106.0
week21,city1,product1,104.0
week22,city1,product1,100.0
week23,city1,product1,94.0
week24,city1,product1,93.0
week25,city1,product1,97.0
week26,city1,product1,106.0
week27,city1,product1,98.0
week28,city1,product1,96.0
week29,city1,product1,111.0
week30,city1,product1,111.0
week31,city1,product1,107.0
week32,city1,product1,100.0
week33,city1,product1,100.0
week34,city1,product1,94.0
week35,city1,product1,107.0
week36,city1,product1,98.0
week37,city1,product1,106.0
week38,city1,product1,94.0
week39,city1,product1,104.0
week40,city1,product1,96.0
week41,city1,product1,96.0
week42,city1,product1,108.0
week43,city1,product1,106.0
week44,city1,product1,99.0
week45,city1,product1,99.0
week46,city1,product1,95.0
week47,city1,product1,109.0
week48,city1,product1,104.0
week49,city1,product1,109.0
week50,city1,product1,97.0
week51,city1,product1,97.0
week52,city1,product1,105.0
week1,city1,product2,100.0
week2,city1,product2,98.0
week3,city1,product2,91.0
week4,city1,product2,100.0
week5,city1,product2,99.0
week6,city1,product2,101.0
week7,city1,product2,100.0
week8,city1,product2,99.0
week9,city1,product2,98.0
week10,city1,product2,97.0
week11,city1,product2,100.0
week12,city1,product2,90.0
week13,city1,product2,89.0
week14,city1,product2,93.0
week15,city1,product2,99.0
week16,city1,product2,92.0
week17,city1,product2,87.0
week18,city1,product2,95.0
week19,city1,product2,88.0
week20,city1,product2,97.0
week21,city1,product2,97.0
week22,city1,product2,93.0
week23,city1,product2,87.0
week24,city1,product2,85.0
week25,city1,product2,89.0
week26,city1,product2,98.0
week27,city1,product2,91.0
week28,city1,product2,88.0
week29,city1,product2,103.0
week30,city1,product2,102.0
week31,city1,product2,99.0
week32,city1,product2,92.0
week33,city1,product2,91.0
week34,city1,product2,88.0
week35,city1,product2,99.0
week36,city1,product2,91.0
week37,city1,product2,99.0
week38,city1,product2,86.0
week39,city1,product2,98.0
week40,city1,product2,90.0
week41,city1,product2,88.0
week42,city1,product2,101.0
week43,city1,product2,100.0
week44,city1,product2,91.0
week45,city1,product2,91.0
week46,city1,product2,87.0
week47,city1,product2,102.0
week48,city1,product2,97.0
week49,city1,product2,100.0
week50,city1,product2,89.0
week51,city1,product2,90.0
week52,city1,product2,97.0
week1,city1,product3,109.0
week2,city1,product3,104.0
week3,city1,product3,100.0
week4,city1,product3,109.0
week5,city1,product3,108.0
week6,city1,product3,109.0
week7,city1,product3,109.0
week8,city1,product3,106.0
week9,city1,product3,108.0
week10,city1,product3,105.0
week11,city1,product3,108.0
week12,city1,product3,97.0
week13,city1,product3,97.0
week14,city1,product3,102.0
week15,city1,product3,108.0
week16,city1,product3,101.0
week17,city1,product3,96.0
week18,city1,product3,103.0
week19,city1,product3,96.0
week20,city1,product3,106.0
week21,city1,product3,105.0
week22,city1,product3,100.0
week23,city1,product3,96.0
week24,city1,product3,94.0
week25,city1,product3,96.0
week26,city1,product3,106.0
week27,city1,product3,100.0
week28,city1,product3,95.0
week29,city1,product3,111.0
week30,city1,product3,112.0
